k_invA,chi
4.350000000000000533e+00,-9.012920447633710266e-03
4.400000000000000355e+00,-8.888430333589001156e-03
4.450000000000000178e+00,-1.071924955187554540e-02
4.500000000000000000e+00,-5.627859078269229452e-03
4.549999999999999822e+00,7.080019536133621769e-03
4.600000000000000533e+00,2.118430020101877767e-02
4.650000000000000355e+00,3.134049064963070896e-02
4.700000000000000178e+00,3.894956230561699012e-02
4.750000000000000000e+00,4.786607750234660869e-02
4.800000000000000711e+00,6.086223808620773446e-02
4.850000000000000533e+00,7.661638696109705771e-02
4.900000000000000355e+00,9.068846891238212249e-02
4.950000000000000178e+00,9.677993511658987413e-02
5.000000000000000000e+00,9.079011740100442762e-02
5.050000000000000711e+00,7.291639717228634576e-02
5.100000000000000533e+00,4.422877990591593533e-02
5.150000000000000355e+00,1.674516720218833035e-02
5.200000000000000178e+00,-3.679653560209805371e-03
5.250000000000000000e+00,-2.167635597363399766e-02
5.300000000000000711e+00,-3.363483116933198985e-02
5.350000000000000533e+00,-3.624208351110962817e-02
5.400000000000000355e+00,-4.153611208805014360e-02
5.450000000000000178e+00,-6.109018240803566757e-02
5.500000000000000000e+00,-8.356082945304081633e-02
5.550000000000000711e+00,-1.005162066779148877e-01
5.600000000000000533e+00,-1.066404174492379953e-01
5.650000000000000355e+00,-9.965813387312398575e-02
5.700000000000000178e+00,-8.391324178176444437e-02
5.750000000000000000e+00,-6.340227295259059925e-02
5.800000000000000711e+00,-3.967400679710438027e-02
5.850000000000000533e+00,-1.594662873103621162e-02
5.900000000000000355e+00,8.935254563638662332e-04
5.950000000000000178e+00,6.918265413987888073e-03
6.000000000000000000e+00,2.338428951713165775e-03
6.050000000000000711e+00,-5.076359687589269282e-03
6.100000000000000533e+00,-8.261797019260197147e-03
6.150000000000000355e+00,6.741131336868239933e-03
6.200000000000000178e+00,4.704112660817841296e-02
6.250000000000000000e+00,1.020402430047046005e-01
6.300000000000000711e+00,1.345927842387249773e-01
6.350000000000000533e+00,1.399103336931732111e-01
6.400000000000000355e+00,1.294188400471087963e-01
6.450000000000000178e+00,1.176997228634068943e-01
6.500000000000000000e+00,1.046582090769247186e-01
6.550000000000000711e+00,8.034982833536205571e-02
6.600000000000000533e+00,4.635204935939182813e-02
6.650000000000000355e+00,3.788138703311737764e-03
6.700000000000000178e+00,-4.140759860743484927e-02
6.750000000000000000e+00,-8.653682198971626716e-02
6.800000000000000711e+00,-1.254416953913145838e-01
6.850000000000000533e+00,-1.498359925063369458e-01
6.900000000000000355e+00,-1.526565618048154049e-01
6.950000000000000178e+00,-1.313530498884895870e-01
7.000000000000000000e+00,-9.288401819358367562e-02
7.050000000000000711e+00,-4.777801232282534449e-02
7.100000000000000533e+00,-3.923700735968027424e-03
7.150000000000000355e+00,2.508343375132783548e-02
7.200000000000000178e+00,4.129180385168014500e-02
7.250000000000000000e+00,3.978597532624108396e-02
7.300000000000000711e+00,2.448256339697968409e-02
7.350000000000000533e+00,1.123096609787720829e-02
7.400000000000000355e+00,5.293114722003774281e-03
7.450000000000000178e+00,3.377214355213068505e-03
7.500000000000000000e+00,-7.423532800746378973e-03
7.550000000000000711e+00,-2.266326413041160059e-02
7.600000000000000533e+00,-2.373018579401519126e-02
7.650000000000000355e+00,-6.971956927199637020e-04
7.700000000000000178e+00,4.280688157086544321e-02
7.750000000000000000e+00,8.426215313574657306e-02
7.800000000000000711e+00,9.816051702504162424e-02
7.850000000000000533e+00,1.004900100870037005e-01
7.900000000000000355e+00,9.409456216349827706e-02
7.950000000000000178e+00,7.676166522207694687e-02
