k_invA,chi
0.000000000000000000e+00,6.598159397704044249e-01
5.000000000000000278e-02,5.924787307545086312e-01
1.000000000000000056e-01,5.353435627986065093e-01
1.500000000000000222e-01,4.869770319353254329e-01
2.000000000000000111e-01,4.459457341972936639e-01
2.500000000000000000e-01,4.108162656171391869e-01
3.000000000000000444e-01,3.801552222274895976e-01
3.500000000000000333e-01,3.525292000609729914e-01
4.000000000000000222e-01,3.265047951502171308e-01
4.500000000000000111e-01,3.006486035278498892e-01
5.000000000000000000e-01,2.735272212264991953e-01
5.500000000000000444e-01,2.440783665335478914e-01
6.000000000000000888e-01,2.127598251989847311e-01
6.500000000000000222e-01,1.803440895630703811e-01
7.000000000000000666e-01,1.462694995105598972e-01
7.500000000000000000e-01,1.090304664255983130e-01
8.000000000000000444e-01,6.933471968893323290e-02
8.500000000000000888e-01,2.889865096676587017e-02
9.000000000000000222e-01,-1.180262141971746837e-02
9.500000000000000666e-01,-5.136574031406434399e-02
1.000000000000000000e+00,-8.624716478753137461e-02
1.050000000000000044e+00,-1.117430296413337854e-01
1.100000000000000089e+00,-1.310996045056050385e-01
1.150000000000000133e+00,-1.447578776985281312e-01
1.200000000000000178e+00,-1.505426403833046156e-01
1.250000000000000000e+00,-1.528010364971092439e-01
1.300000000000000044e+00,-1.577997237495437910e-01
1.350000000000000089e+00,-1.638462173288753043e-01
1.400000000000000133e+00,-1.599360723361724634e-01
1.450000000000000178e+00,-1.553288515257083557e-01
1.500000000000000000e+00,-1.449832012022032601e-01
1.550000000000000044e+00,-1.260308656040413644e-01
1.600000000000000089e+00,-8.795646498686757186e-02
1.650000000000000133e+00,-5.506838388444902643e-02
1.700000000000000178e+00,-3.536998899510155128e-03
1.750000000000000000e+00,3.162285943153213263e-02
1.800000000000000044e+00,7.186788712817591962e-02
1.850000000000000089e+00,1.216731737752846793e-01
1.900000000000000133e+00,1.435312859194137480e-01
1.950000000000000178e+00,1.478716207542943029e-01
2.000000000000000000e+00,1.277908970423238810e-01
2.050000000000000266e+00,9.488060983503290857e-02
2.100000000000000089e+00,5.918370654580389079e-02
2.149999999999999911e+00,2.304055146670540288e-02
2.200000000000000178e+00,-7.300628611272653784e-04
2.250000000000000000e+00,-1.396377074783389759e-02
2.300000000000000266e+00,-9.690635759697623780e-03
2.350000000000000089e+00,1.846640575055884248e-02
2.400000000000000355e+00,5.094242993350111409e-02
2.450000000000000178e+00,8.696231168301733760e-02
2.500000000000000000e+00,1.048183627257169848e-01
2.550000000000000266e+00,8.802121035473675636e-02
2.600000000000000089e+00,5.650678394099650087e-02
2.650000000000000355e+00,2.359785086064500326e-02
2.700000000000000178e+00,-1.139380902405217125e-02
2.750000000000000000e+00,-3.909628926191702908e-02
2.800000000000000266e+00,-6.197329275561838657e-02
2.850000000000000089e+00,-8.258402547333652810e-02
2.900000000000000355e+00,-9.322232896152650439e-02
2.950000000000000178e+00,-9.102914587231808463e-02
3.000000000000000000e+00,-8.521528255364231585e-02
3.050000000000000266e+00,-7.466832833563374905e-02
