k_invA,chi
0.000000000000000000e+00,7.047486328887283547e-01
5.000000000000000278e-02,6.414021844988851973e-01
1.000000000000000056e-01,5.855173466133439808e-01
1.500000000000000222e-01,5.360464641859581381e-01
2.000000000000000111e-01,4.919418821705806022e-01
2.500000000000000000e-01,4.521559455210646949e-01
3.000000000000000444e-01,4.156409991912637381e-01
3.500000000000000333e-01,3.813493881350308312e-01
4.000000000000000222e-01,3.482334573062194627e-01
4.500000000000000111e-01,3.152455516586826767e-01
5.000000000000000000e-01,2.813416751847481745e-01
5.500000000000000444e-01,2.460854410109657719e-01
6.000000000000000888e-01,2.103216150178713606e-01
6.500000000000000222e-01,1.745174858452478439e-01
7.000000000000000666e-01,1.364622361877805556e-01
7.500000000000000000e-01,9.455842396323944909e-02
8.000000000000000444e-01,5.292000531295246862e-02
8.500000000000000888e-01,1.477775779517877773e-02
9.000000000000000222e-01,-2.409581305120407288e-02
9.500000000000000666e-01,-5.895347507161196460e-02
1.000000000000000000e+00,-8.430060155954305356e-02
1.050000000000000044e+00,-1.049875065433601151e-01
1.100000000000000089e+00,-1.204993950301322947e-01
1.150000000000000133e+00,-1.256875157157703593e-01
1.200000000000000178e+00,-1.305113069138966186e-01
1.250000000000000000e+00,-1.362910216630395521e-01
1.300000000000000044e+00,-1.425319738326862040e-01
1.350000000000000089e+00,-1.425950927562300852e-01
1.400000000000000133e+00,-1.387886955412906131e-01
1.450000000000000178e+00,-1.327205920352608481e-01
1.500000000000000000e+00,-1.204139966688765190e-01
1.550000000000000044e+00,-8.655493720066329000e-02
1.600000000000000089e+00,-5.613971620269002372e-02
1.650000000000000133e+00,-1.489025999699103257e-02
1.700000000000000178e+00,2.243603659984945084e-02
1.750000000000000000e+00,5.319149004049525398e-02
1.800000000000000044e+00,9.847844988984838510e-02
1.850000000000000089e+00,1.295543769464219119e-01
1.900000000000000133e+00,1.460402196872296887e-01
1.950000000000000178e+00,1.346557156249116038e-01
2.000000000000000000e+00,1.107596202637074340e-01
2.050000000000000266e+00,7.704795952940994563e-02
2.100000000000000089e+00,4.434426735774555511e-02
2.149999999999999911e+00,1.120580729525635227e-02
2.200000000000000178e+00,-7.129864698831617220e-03
2.250000000000000000e+00,-1.435957546215937443e-02
2.300000000000000266e+00,-4.596929575186551632e-03
2.350000000000000089e+00,2.907444625810534297e-02
2.400000000000000355e+00,5.699274980291733211e-02
2.450000000000000178e+00,8.509960772196228929e-02
2.500000000000000000e+00,8.578190603967295047e-02
2.550000000000000266e+00,6.320539301860722547e-02
2.600000000000000089e+00,3.389568236282911040e-02
2.650000000000000355e+00,-2.783227018074894976e-03
2.700000000000000178e+00,-2.857199843049573404e-02
2.750000000000000000e+00,-4.942992672735305182e-02
2.800000000000000266e+00,-7.110938725204332678e-02
2.850000000000000089e+00,-8.703712634895316436e-02
2.900000000000000355e+00,-9.190244041190996638e-02
2.950000000000000178e+00,-8.738659049282238023e-02
3.000000000000000000e+00,-8.097948021183276612e-02
3.050000000000000266e+00,-6.997786279727194469e-02
3.100000000000000089e+00,-5.587462218038986156e-02
3.150000000000000355e+00,-3.552317429027880558e-02
3.200000000000000178e+00,-1.372601054802258247e-02
3.250000000000000000e+00,6.167825442167595984e-03
3.300000000000000266e+00,2.977930472533155820e-02
3.350000000000000089e+00,5.218362050678863190e-02
3.400000000000000355e+00,6.907310531635621476e-02
3.450000000000000178e+00,8.025294366829403836e-02
3.500000000000000000e+00,7.764468488772639787e-02
