energy_eV,mu
8991.438,2.27006
8992.003,2.28285
8992.481,2.27773
8992.917,2.26762
8993.396,2.24783
8993.875,2.2244
8994.354,2.19937
8994.833,2.17857
8995.312,2.1526
8995.791,2.13735
8996.27,2.12753
8996.792,2.12032
8997.271,2.12292
8997.751,2.13157
8998.23,2.14952
8998.71,2.17617
8999.189,2.21569
8999.669,2.23673
9000.148,2.26344
9000.628,2.2883
9001.107,2.30406
9001.587,2.30541
9002.154,2.29299
9002.591,2.27881
9003.07,2.25834
9003.55,2.23932
9004.03,2.21716
9004.51,2.18915
9004.99,2.17101
9005.471,2.15346
9005.95,2.13686
9006.431,2.12306
9006.911,2.11056
9007.391,2.09535
9007.871,2.08203
9008.439,2.06715
9008.92,2.05971
9009.4,2.05407
9009.838,2.05295
9010.317,2.05278
9011.454,2.06254
9012.503,2.07066
9013.64,2.08787
9014.777,2.10809
9015.915,2.13709
9017.096,2.16713
9018.321,2.19542
9019.504,2.22768
9020.774,2.25942
9022.001,2.28195
9023.271,2.2972
9024.586,2.29301
9025.901,2.2676
9027.218,2.23119
9028.578,2.19767
9029.938,2.15912
9031.343,2.13164
9032.748,2.11202
9034.154,2.10125
9035.604,2.09964
9037.099,2.10797
9038.594,2.11935
9040.089,2.12903
9041.585,2.12917
9043.126,2.12276
9044.755,2.12161
9046.297,2.1292
9047.883,2.14594
9049.514,2.15651
9051.146,2.15709
9052.777,2.15624
9054.454,2.1615
9056.176,2.17635
9057.898,2.19483
9059.622,2.20751
9061.346,2.2169
9063.114,2.22758
9064.928,2.24149
9066.742,2.26053
9068.557,2.27946
9070.417,2.28936
9072.277,2.28537
9074.14,2.26794
9076.047,2.23195
9077.998,2.19495
9079.906,2.16339
9081.904,2.13756
9083.859,2.1157
9085.859,2.10604
9087.904,2.09932
9089.906,2.08025
9091.998,2.04995
9094.046,2.02212
9096.14,2.0067
9098.279,2.009
9100.374,2.02455
9102.561,2.04675
9104.702,2.07679
9106.891,2.10316
9109.124,2.1257
9111.359,2.1368
9113.595,2.13642
9115.877,2.12804
9118.159,2.12324
9120.444,2.13223
9122.773,2.16842
9125.105,2.22345
9127.527,2.27124
9129.861,2.29152
9132.241,2.28678
9134.668,2.27052
9137.096,2.25101
9139.569,2.22592
9142.045,2.19095
9144.521,2.14011
9147.045,2.08831
9149.569,2.03237
9152.14,1.97645
9154.713,1.93434
9157.286,1.91265
9159.907,1.91825
9162.529,1.95202
9165.153,1.99798
9167.823,2.0491
9170.542,2.08781
9173.215,2.11025
9175.936,2.11738
9178.703,2.10808
9181.474,2.09345
9184.244,2.08253
9187.018,2.07722
9189.837,2.07101
9192.705,2.05608
9195.528,2.04388
9198.49,2.05235
9201.318,2.08447
9204.284,2.12767
9207.161,2.15462
9210.131,2.15967
9213.103,2.15484
9216.077,2.14097
9219.099,2.11572
9222.122,2.07673
9225.193,2.03351
9228.268,1.99236
9231.297,1.96289
9234.467,1.94354
9237.547,1.93666
9240.721,1.94322
9243.897,1.95502
9247.075,1.95966
9250.257,1.96046
9253.439,1.96342
9256.672,1.9656
9259.951,1.97009
9263.233,1.97988
9266.519,1.99264
9269.806,2.00194
9273.142,2.00777
9276.526,2.01071
9279.867,2.0115
9283.257,2.01382
9286.696,2.01794
9290.091,2.02227
9293.535,2.02694
9297.028,2.0249
9300.478,2.01065
9304.022,1.99136
9307.524,1.9718
9311.074,1.95057
9314.628,1.93364
9318.23,1.92451
9321.79,1.92534
9325.446,1.92914
9329.058,1.92746
9332.719,1.91663
9336.384,1.89907
9340.098,1.8812
9343.862,1.87904
9347.536,1.887
9351.307,1.89084
9355.08,1.89168
9358.857,1.89638
9362.637,1.90033
9366.515,1.90329
9370.396,1.90626
9374.186,1.90913
9378.073,1.9114
9382.012,1.91302
9385.906,1.9137
9389.851,1.91342
9393.8,1.91293
9397.799,1.91049
9401.802,1.90387
9405.809,1.89296
9409.865,1.87786
9413.927,1.86174
9417.992,1.8504
9422.061,1.84507
9426.181,1.84393
9430.304,1.84534
9434.479,1.84648
9438.658,1.84432
9442.842,1.84004
9447.028,1.83109
9451.268,1.82022
9455.51,1.81249
9459.805,1.81063
9464.056,1.80913
9468.358,1.80488
9472.714,1.80052
9477.024,1.79927
9481.388,1.79936
9485.804,1.80236
9490.175,1.80531
9494.6,1.80893
9499.028,1.81233
9503.559,1.81599
9507.995,1.81698
9512.485,1.81444
9517.029,1.80724
9521.528,1.79613
9526.08,1.7808
9530.637,1.76934
9535.248,1.76262
9539.862,1.75805
9544.481,1.75477
9549.155,1.75173
9553.833,1.74984
9558.466,1.74792
9563.153,1.74469
9567.943,1.74072
9572.641,1.73723
9577.441,1.73373
9582.246,1.72808
9586.958,1.72222
9591.823,1.71944
9596.643,1.7171
9601.468,1.71575
9606.348,1.71539
9611.282,1.71374
9616.173,1.71212
9621.118,1.71101
9626.068,1.71087
9631.023,1.70968
9636.035,1.70638
9641.051,1.70235
9646.072,1.69797
9651.1,1.69378
9656.232,1.69974
9661.271,1.71579
9666.364,1.71701
9671.463,1.71109
9676.618,1.70013
9681.778,1.69815
9686.945,1.69491
9692.168,1.69076
9697.396,1.68468
9702.682,1.68195
9707.871,1.68024
9713.168,1.67584
9718.471,1.66967
9723.779,1.66686
9729.094,1.66373
9734.466,1.66056
9739.844,1.65723
9745.278,1.65561
9750.617,1.65688
9756.065,1.65435
9761.519,1.64852
9766.979,1.64322
9772.444,1.63969
9778.021,1.63743
9783.499,1.634
9789.036,1.62982
9794.631,1.62728
9800.181,1.62447
9805.788,1.62169
9811.403,1.61799
9817.024,1.6126
9822.652,1.60645
9828.339,1.60077
9834.084,1.59586
9839.837,1.59168
9845.491,1.58863
9851.258,1.58488
9857.03,1.58146
9862.811,1.57826
9868.598,1.5748
9874.444,1.57219
9880.297,1.56911
9886.158,1.56555
9892.025,1.56215
9897.953,1.55824
9903.889,1.55453
9909.831,1.55109
9915.78,1.54786
9921.737,1.545
9927.755,1.54178
9933.779,1.53803
9939.813,1.53399
9945.853,1.53012
9951.953,1.52576
9958.063,1.52249
9964.179,1.51938
9970.302,1.51572
9976.434,1.5116
9982.627,1.50755
9988.827,1.50263
9995.037,1.49848
10001.25,1.49458
10007.48,1.49044
10013.76,1.48615
10020.11,1.48248
10026.36,1.47892
10032.67,1.47523
10038.99,1.47148
10045.38,1.46799
10051.77,1.46472
10058.16,1.46121
10064.57,1.45841
10070.99,1.45527
10077.46,1.45162
10083.95,1.44804
10090.45,1.44381
10097.01,1.44004
10103.46,1.43648
10110.04,1.43249
10116.63,1.42896
10123.22,1.42472
10129.82,1.42074
10136.43,1.41742
10143.05,1.41353
10149.74,1.40988
10156.43,1.40647
10163.19,1.40276
10169.85,1.39923
10176.62,1.39551
10183.35,1.39166
10190.15,1.38806
10196.95,1.38418
10203.77,1.38059
10210.59,1.377
10217.48,1.37322
10224.32,1.37002
10231.23,1.36646
10238.2,1.36303
10245.07,1.35985
10252.01,1.3559
10259.01,1.35215
10266.03,1.34905
10273.05,1.34514
10280.08,1.34174
10287.07,1.33777
10294.12,1.33404
10301.29,1.33072
10308.37,1.32682
10315.45,1.32305
10322.66,1.31932
10329.76,1.31558
10336.98,1.31204
10344.22,1.30774
10351.35,1.30399
10358.61,1.30041
10365.88,1.2966
10373.16,1.29304
10380.45,1.28929
10387.75,1.28563
10395.06,1.28207
10402.44,1.27821
10409.77,1.27475
10417.17,1.27106
10424.58,1.26736
