energy_eV,mu
9242.885,2.69857
9246.063,2.71966
9249.242,2.71926
9252.471,2.72476
9255.702,2.73198
9258.935,2.73589
9262.217,2.75151
9265.5,2.78259
9268.787,2.81017
9272.122,2.82938
9275.459,2.83904
9278.847,2.84042
9282.235,2.83938
9285.627,2.84887
9289.067,2.86293
9292.511,2.88118
9295.957,2.89589
9299.451,2.87464
9302.949,2.8293
9306.449,2.78583
9310.0,2.73843
9313.553,2.69575
9317.108,2.67578
9320.713,2.68112
9324.32,2.69975
9327.979,2.71324
9331.592,2.69967
9335.256,2.66152
9338.969,2.61219
9342.732,2.59063
9346.405,2.61336
9350.128,2.63665
9353.9,2.63775
9357.677,2.64809
9361.55,2.66408
9365.332,2.672
9369.165,2.68002
9373.048,2.68901
9376.935,2.69625
9380.824,2.70387
9384.718,2.7082
9388.662,2.71029
9392.609,2.71179
9396.561,2.71253
9400.563,2.70787
9404.567,2.69093
9408.624,2.65879
9412.685,2.61919
9416.748,2.58571
9420.815,2.57291
9424.935,2.57357
9429.057,2.58266
9433.231,2.59685
9437.361,2.60434
9441.544,2.60053
9445.777,2.58591
9449.966,2.55872
9454.208,2.53241
9458.501,2.52756
9462.75,2.53543
9467.052,2.53179
9471.406,2.51957
9475.716,2.51402
9480.078,2.51387
9484.444,2.5225
9488.863,2.53667
9493.238,2.54928
9497.714,2.56358
9502.146,2.58218
9506.63,2.5965
9511.118,2.60123
9515.661,2.59256
9520.158,2.56883
9524.709,2.52671
9529.265,2.4863
9533.825,2.46768
9538.438,2.46221
9543.105,2.46027
9547.679,2.45808
9552.355,2.45876
9557.036,2.46224
9561.722,2.46255
9566.462,2.45601
9571.256,2.45076
9575.956,2.44734
9580.76,2.43931
9585.568,2.42312
9590.382,2.41547
9595.201,2.41483
9600.024,2.41334
9604.903,2.41772
9609.786,2.42092
9614.676,2.41974
9619.619,2.41921
9624.567,2.42369
9629.521,2.43041
9634.48,2.42775
9639.496,2.41988
9644.516,2.41073
9649.541,2.40172
9654.622,2.39538
9659.708,2.38607
9664.8,2.37216
9669.897,2.36198
9675.051,2.3557
9680.21,2.35147
9685.374,2.35081
9690.646,2.34481
9695.771,2.33337
9701.004,2.32918
9706.293,2.32757
9711.537,2.323
9716.839,2.31434
9722.146,2.30762
9727.458,2.30283
9732.828,2.29451
9738.204,2.29273
9743.586,2.29418
9748.975,2.29567
9754.42,2.30144
9759.82,2.30058
9765.278,2.29799
9770.794,2.29416
9776.265,2.28563
9781.793,2.27292
9787.379,2.26377
9792.869,2.26189
9798.469,2.26177
9804.075,2.26041
9809.688,2.25789
9815.306,2.25178
9820.932,2.24042
9826.669,2.23008
9832.308,2.22053
9838.059,2.21337
9843.815,2.20937
9849.475,2.20493
9855.245,2.19897
9861.023,2.19425
9866.86,2.18922
9872.652,2.18483
9878.504,2.18282
9884.362,2.17854
9890.228,2.17539
9896.153,2.17559
9902.086,2.17525
9908.026,2.17289
9913.974,2.16886
9919.929,2.16356
9925.944,2.15787
9931.966,2.15249
9937.997,2.14756
9944.034,2.14115
9950.079,2.13336
9956.186,2.12696
9962.3,2.12183
9968.421,2.11851
9974.55,2.11577
9980.741,2.11258
9986.94,2.10496
9993.093,2.09882
9999.361,2.09581
10005.58,2.08968
10011.87,2.08288
10018.11,2.07616
10024.41,2.07069
10030.77,2.06594
10037.09,2.0607
10043.46,2.05492
10049.8,2.05092
10056.19,2.04779
10062.6,2.04754
10069.07,2.04745
10075.49,2.04361
10081.97,2.039
10088.46,2.03261
10094.96,2.02822
10101.53,2.0233
10108.05,2.01786
10114.63,2.01171
10121.17,2.00582
10127.77,2.00004
10134.49,1.99505
10141.05,1.99073
10147.79,1.9855
10154.37,1.98105
10161.12,1.97816
10167.89,1.97292
10174.55,1.96737
10181.28,1.96128
10188.07,1.95492
10194.87,1.94962
10201.68,1.94495
10208.5,1.94034
10215.39,1.93637
10222.23,1.9331
10229.13,1.93025
10236.1,1.92677
10242.97,1.92263
10249.91,1.91711
10256.85,1.91192
10263.86,1.90818
10270.88,1.90363
10277.91,1.89906
10284.95,1.89457
10292.0,1.88974
10299.05,1.88536
10306.24,1.88066
10313.32,1.87546
10320.41,1.87044
10327.62,1.86432
10334.73,1.85871
10341.96,1.85346
10349.21,1.84843
10356.46,1.84392
10363.61,1.8401
10370.89,1.83507
10378.17,1.83002
10385.53,1.82492
10392.84,1.81991
10400.16,1.81517
10407.54,1.8111
10414.94,1.80756
10422.35,1.80353
10429.77,1.79796
10437.2,1.79266
10444.64,1.78841
10452.15,1.78354
10459.61,1.77865
10467.14,1.77495
10474.69,1.76998
10482.24,1.76573
10489.81,1.7609
10497.44,1.75616
10505.09,1.75143
10512.63,1.74654
10520.3,1.74126
10527.98,1.73597
10535.68,1.73113
10543.38,1.72604
10551.1,1.72131
10558.83,1.71587
10566.63,1.7106
10574.38,1.70552
10582.2,1.70082
10590.04,1.69626
10597.88,1.69147
10605.8,1.68733
10613.61,1.68271
10621.5,1.67762
10629.45,1.67293
10637.36,1.6684
10645.34,1.66408
10653.27,1.65915
10661.27,1.65443
10669.29,1.64935
10677.32,1.64436
10685.36,1.63967
10693.47,1.63497
10701.54,1.63041
10709.68,1.62582
10717.77,1.62126
10725.94,1.61649
10734.12,1.61164
10742.37,1.60701
10750.45,1.60198
10758.73,1.59692
10766.96,1.59163
10775.26,1.58674
10783.45,1.58215
10791.78,1.57698
10800.13,1.57263
10808.42,1.56846
10816.79,1.56408
10825.18,1.55933
10833.57,1.55465
10841.98,1.54963
10850.41,1.54514
10858.84,1.5402
10867.36,1.53583
10875.82,1.53097
10884.3,1.52667
10892.85,1.52135
10901.42,1.51684
10909.94,1.5119
10918.53,1.50733
10927.21,1.50263
10935.77,1.49833
10944.4,1.49366
10953.12,1.48892
10961.79,1.484
10970.53,1.47936
10979.16,1.47443
10987.93,1.46968
10996.65,1.46484
11005.45,1.45991
11014.27,1.45511
11023.03,1.45055
11031.88,1.44618
11040.74,1.44143
11049.61,1.4369
11058.5,1.43252
11067.4,1.42773
11076.31,1.42357
11085.25,1.41851
11094.26,1.41374
11103.22,1.4102
11112.26,1.40466
11121.25,1.40004
11130.32,1.39566
11139.34,1.39095
11148.51,1.38625
11157.56,1.38153
11166.63,1.37728
11175.78,1.37275
11185.01,1.36797
11194.12,1.36343
11203.31,1.35857
11212.59,1.35444
11221.74,1.34964
11230.98,1.34503
11240.31,1.34052
11249.65,1.33594
11258.87,1.33161
11268.24,1.32726
11277.55,1.32233
11286.96,1.31825
11296.38,1.31359
11305.74,1.30895
11315.19,1.30473
11324.66,1.3
11334.0,1.29569
11343.5,1.29119
11353.01,1.28696
11362.54,1.28242
